category,defect,sample_id,gt_area,label,s_full,p_rgb,evidence_class,e_rgb_topk,e_depth_topk,e_rgb_mean,e_depth_mean
bagel,crack,bagel/test/crack/003,0.008056640625,1,7.7349042892456055,0.8170042884887397,RGB-DOMINANT,9.111647950016643,2.0408603799784144,5.868367763412449,0.8528969116884724
cable_gland,thread,cable_gland/test/thread/017,0.005340576171875,1,9.411319732666016,0.9999999116784519,RGB-DOMINANT,11.322264301905609,-0.19832997147342332,7.024051730647162,-0.6640054375751034
carrot,contamination,carrot/test/contamination/009,0.0065765380859375,1,7.838906764984131,0.9110140153811942,RGB-DOMINANT,12.940495721146998,1.2640001391261404,5.975709815075455,0.5021840642846092
cookie,contamination,cookie/test/contamination/022,0.0076446533203125,1,3.7694180011749268,0.9442866739289876,RGB-DOMINANT,4.22566789340474,0.24931525078802164,2.6067830411786606,-0.1286552347629479
dowel,contamination,dowel/test/contamination/009,0.006927490234375,1,10.206913948059082,0.8053445436160002,RGB-DOMINANT,15.550380101141197,3.758596931192554,8.313166613800451,1.9619124547715718
foam,color,foam/test/color/000,0.01422119140625,1,6.914425849914551,0.8659766154178343,RGB-DOMINANT,8.482641737736072,1.3128200804408268,4.780625171646852,-0.40726275076392926
peach,combined,peach/test/combined/009,0.0060272216796875,1,8.428351402282715,0.9633482945118359,RGB-DOMINANT,8.469775734626369,0.32224146157370614,5.776436763317007,-0.3982063524107224
potato,combined,potato/test/combined/010,0.005889892578125,1,11.365604400634766,0.7929462688463722,RGB-DOMINANT,11.624528822059519,3.0353901230479985,7.130983188725389,1.1228489710207414
rope,cut,rope/test/cut/013,0.0079803466796875,1,10.062455177307129,0.3666164194798988,JOINT,9.322373127237118,16.10576447185324,4.325447800924907,11.315433542832693
tire,hole,tire/test/hole/024,0.0067596435546875,1,8.571032524108887,0.6691711480126977,JOINT,10.459722434413314,5.171139410580173,5.537446505365296,2.487476019321033
