category,defect,sample_id,gt_area,label,s_full,p_rgb,evidence_class,e_rgb_topk,e_depth_topk,e_rgb_mean,e_depth_mean
bagel,combined,bagel/test/combined/000,0.0189056396484375,1,12.706852912902832,0.6274303440976897,JOINT,12.708678860922015,7.546443246326519,6.977064923794005,2.107306322682616
bagel,combined,bagel/test/combined/001,0.0151519775390625,1,8.13525390625,0.5312271346471584,JOINT,8.676069144474859,7.656057073080608,6.616159972355013,2.161944776165688
bagel,combined,bagel/test/combined/002,0.0114593505859375,1,10.730622291564941,0.6153210301730783,JOINT,11.032040317442636,6.896876721226594,6.637632457742103,2.327626018157105
bagel,combined,bagel/test/combined/003,0.0170745849609375,1,9.04700756072998,0.5529974280399096,JOINT,8.354117848891235,6.752855298352578,5.743052307839424,2.1685756894485873
bagel,combined,bagel/test/combined/004,0.0031585693359375,1,8.231779098510742,0.6329782741826733,JOINT,7.501446216326521,4.349585468820039,6.484107635790219,1.28276830677367
bagel,combined,bagel/test/combined/005,0.0038604736328125,1,7.119294166564941,0.6298581544951222,JOINT,7.49723179476694,4.405815123659273,5.68809323494211,0.8814908528425492
bagel,combined,bagel/test/combined/006,0.0038909912109375,1,9.018619537353516,0.7889187548285039,RGB-DOMINANT,8.394508409760883,2.2460139120426286,6.242876929232428,1.1840116554521558
bagel,combined,bagel/test/combined/007,0.01678466796875,1,6.939225196838379,0.564573842550058,JOINT,7.46801150574484,5.759684108773192,5.326760426945536,1.8294850701942071
bagel,combined,bagel/test/combined/008,0.0124969482421875,1,7.735624313354492,0.6158378424012191,JOINT,8.559742039162456,5.339600992355786,5.715760907755278,2.0665766451453957
bagel,combined,bagel/test/combined/009,0.0050048828125,1,6.01364803314209,0.7434013801171678,RGB-DOMINANT,7.737841784010018,2.6708569991279343,5.577869318138571,1.3928060852940927
bagel,combined,bagel/test/combined/010,0.0112762451171875,1,10.177709579467773,0.7317042927193067,RGB-DOMINANT,10.055373778316559,3.687026186623467,5.692143207055896,0.8853884821039006
bagel,combined,bagel/test/combined/011,0.0062408447265625,1,8.612350463867188,0.520705277786433,JOINT,7.524106796492127,6.925729985982081,5.25868594723823,1.4424009487396763
bagel,combined,bagel/test/combined/012,0.012420654296875,1,10.109295845031738,0.5968771801205794,JOINT,10.971376626608151,7.409919216390177,6.12562401039359,3.11791318274717
bagel,combined,bagel/test/combined/013,0.015289306640625,1,8.83317756652832,0.7196617353224579,RGB-DOMINANT,9.06126823726716,3.529740945047299,6.053941255026454,1.2625098150977425
bagel,combined,bagel/test/combined/014,0.011993408203125,1,12.234382629394531,0.6357553835705771,JOINT,12.458765258893525,7.138024552254106,6.657775478550751,2.7073629845910356
bagel,combined,bagel/test/combined/015,0.0037689208984375,1,7.755641460418701,0.6630497180962608,JOINT,8.597965509777573,4.369334848051117,6.3135086129010105,1.6354557210840504
bagel,combined,bagel/test/combined/016,0.005584716796875,1,7.872030258178711,0.7079688194961364,RGB-DOMINANT,7.901307093867818,3.2592216869369404,5.490077370169225,1.3348367283781337
