category,method,aggregation,I_AUROC,P_AUROC,AUPRO
bagel,H3A_Fusion,max_patch,0.9646239669421488,0.9932069108100328,0.9591206795834756
bagel,H3A_Fusion,mean_top_0.1%,0.9756239669421488,0.9932069108100328,0.9591206795834756
bagel,H3A_Fusion,mean_top_0.5%,0.9796239669421488,0.9932069108100328,0.9591206795834756
bagel,H3A_Fusion,mean_top_1.0%,0.9776239669421488,0.9932069108100328,0.9591206795834756
bagel,H3A_Fusion,mean_top_5.0%,0.9506239669421488,0.9932069108100328,0.9591206795834756
bagel,H3A_Fusion,reweighted_max,0.9726239669421488,0.9932069108100328,0.9591206795834756
bagel,H3A_Fusion,robust_tail_top1%,0.9786239669421488,0.9932069108100328,0.9591206795834756
cable_gland,H3A_Fusion,max_patch,0.9175610290093048,0.9937990259738444,0.9734147574422256
cable_gland,H3A_Fusion,mean_top_0.1%,0.9285610290093048,0.9937990259738444,0.9734147574422256
cable_gland,H3A_Fusion,mean_top_0.5%,0.9325610290093048,0.9937990259738444,0.9734147574422256
cable_gland,H3A_Fusion,mean_top_1.0%,0.9305610290093048,0.9937990259738444,0.9734147574422256
cable_gland,H3A_Fusion,mean_top_5.0%,0.9035610290093048,0.9937990259738444,0.9734147574422256
cable_gland,H3A_Fusion,reweighted_max,0.9255610290093048,0.9937990259738444,0.9734147574422256
cable_gland,H3A_Fusion,robust_tail_top1%,0.9315610290093048,0.9937990259738444,0.9734147574422256
carrot,H3A_Fusion,max_patch,0.9089472502805835,0.9950507122749828,0.9746107428468702
carrot,H3A_Fusion,mean_top_0.1%,0.9199472502805836,0.9950507122749828,0.9746107428468702
carrot,H3A_Fusion,mean_top_0.5%,0.9239472502805836,0.9950507122749828,0.9746107428468702
carrot,H3A_Fusion,mean_top_1.0%,0.9219472502805836,0.9950507122749828,0.9746107428468702
carrot,H3A_Fusion,mean_top_5.0%,0.8949472502805835,0.9950507122749828,0.9746107428468702
carrot,H3A_Fusion,reweighted_max,0.9169472502805835,0.9950507122749828,0.9746107428468702
carrot,H3A_Fusion,robust_tail_top1%,0.9229472502805836,0.9950507122749828,0.9746107428468702
cookie,H3A_Fusion,max_patch,0.8838169209431346,0.9750623461365632,0.9143904311471536
cookie,H3A_Fusion,mean_top_0.1%,0.8948169209431346,0.9750623461365632,0.9143904311471536
cookie,H3A_Fusion,mean_top_0.5%,0.8988169209431346,0.9750623461365632,0.9143904311471536
cookie,H3A_Fusion,mean_top_1.0%,0.8968169209431346,0.9750623461365632,0.9143904311471536
cookie,H3A_Fusion,mean_top_5.0%,0.8698169209431346,0.9750623461365632,0.9143904311471536
cookie,H3A_Fusion,reweighted_max,0.8918169209431346,0.9750623461365632,0.9143904311471536
cookie,H3A_Fusion,robust_tail_top1%,0.8978169209431346,0.9750623461365632,0.9143904311471536
dowel,H3A_Fusion,max_patch,0.9269112426035504,0.9966003922776352,0.9757288232278446
dowel,H3A_Fusion,mean_top_0.1%,0.9379112426035504,0.9966003922776352,0.9757288232278446
dowel,H3A_Fusion,mean_top_0.5%,0.9419112426035504,0.9966003922776352,0.9757288232278446
dowel,H3A_Fusion,mean_top_1.0%,0.9399112426035504,0.9966003922776352,0.9757288232278446
dowel,H3A_Fusion,mean_top_5.0%,0.9129112426035504,0.9966003922776352,0.9757288232278446
dowel,H3A_Fusion,reweighted_max,0.9349112426035504,0.9966003922776352,0.9757288232278446
dowel,H3A_Fusion,robust_tail_top1%,0.9409112426035504,0.9966003922776352,0.9757288232278446
foam,H3A_Fusion,max_patch,0.778875,0.968717495196432,0.880989869096336
